comment,label
I am going to the store,Neutral
You are an so idiot to be honest,Insult
Stop disturbing me,Harassment
seriously Good really morning to be honest,Neutral
seriously Go really away,Harassment
Stop disturbing me these days,Harassment
What a stupid thing to say,Insult
Go away right now,Harassment
honestly What a stupid thing to say,Insult
This is nonsense,Insult
I hate you right now,Hate
Thank you so very much,Neutral
frankly I cannot stand you,Hate
honestly You are so awesome,Love
You are amazing,Love
Great job,Love
I extremely hate you,Hate
honestly You are amazing these days,Love
honestly Have a good day,Neutral
I appreciate you these days,Love
This fills me so with hate,Hate
I am coming for you,Threat
seriously so This is a normal message,Neutral
I hate everything about so this these days,Hate
Nice to meet you,Neutral
Do not message me again right now,Harassment
You are pathetic,Insult
I will hurt you right now,Threat
How are you,Neutral
You should be careful,Threat
frankly so Hi there right now,Neutral
I hate you right now,Hate
Good morning,Neutral
seriously I will really hurt you,Threat
I will make you very pay these days,Threat
You make no sense,Insult
Quit spamming me,Harassment
What a stupid thing so to say these days,Insult
I despise quite you,Hate
Stop bothering quite me these days,Harassment
You are quite annoying,Harassment
Have a good day to be honest,Neutral
Go away,Harassment
seriously I love quite this so much right now,Love
honestly How are really you to be honest,Neutral
Thank you very much,Neutral
How are quite you,Neutral
honestly This made my day,Love
I will hurt you to be honest,Threat
seriously really Good morning,Neutral
I appreciate you to be honest,Love
I am going to the so store,Neutral
What a stupid thing to say right now,Insult
honestly I hate you,Hate
You quite are annoying to be honest,Harassment
You are quite annoying,Harassment
frankly Nice to meet you to be honest,Neutral
frankly The so weather is nice today right now,Neutral
I admire extremely your work these days,Love
You will really suffer for this these days,Threat
seriously I loathe very your behavior,Hate
Good morning,Neutral
That was a dumb idea right now,Insult
You are pathetic,Insult
You extremely are annoying right now,Harassment
I really hate so this right now,Hate
I strongly dislike quite you,Hate
Nice to meet you these days,Neutral
This is wonderful these days,Love
frankly very You should be careful,Threat
honestly I love this so much,Love
You extremely are stupid,Insult
I am coming so for you,Threat
Stop this behavior,Harassment
This very is harassment,Harassment
Do not message really me again,Harassment
You are so pathetic these days,Insult
seriously really You did fantastic,Love
The weather is nice today,Neutral
This is nonsense to be honest,Insult
frankly This is so nonsense to be honest,Insult
You will extremely regret this,Threat
frankly I am extremely coming for you these days,Threat
I will make you pay,Threat
I hate extremely everything about this right now,Hate
frankly really You are an idiot,Insult
This makes me angry,Hate
Quit spamming me,Harassment
I am really going to the store,Neutral
seriously I quite admire your work these days,Love
seriously Go so away,Harassment
I so appreciate you to be honest,Love
Hello,Neutral
frankly Great very job,Love
honestly You are in danger these days,Threat
This makes me angry to be honest,Hate
seriously quite Stop this behavior right now,Harassment
honestly You will regret very this,Threat
I cannot stand you,Hate
I am coming for you to be honest,Threat
Why do you keep messaging me,Harassment
seriously You are so ridiculous to be honest,Insult
Stop quite this behavior,Harassment
honestly I will destroy extremely you,Threat
Nice to meet you,Neutral
I am going to the store,Neutral
Do so not message me again right now,Harassment
honestly You are stupid,Insult
This is a warning these days,Threat
I hate you,Hate
You are in very danger right now,Threat
honestly so This fills me with hate,Hate
Thank you very much,Neutral
honestly I despise so you,Hate
This very is wonderful,Love
How are you,Neutral
You are an very idiot,Insult
You make no sense,Insult
I am coming quite for you,Threat
Why do you keep quite messaging me to be honest,Harassment
Hi there right now,Neutral
seriously This is nonsense,Insult
honestly You quite are in danger right now,Threat
Have a good extremely day,Neutral
I love very you to be honest,Love
I admire so your work,Love
frankly I hate everything about this,Hate
honestly I extremely detest this,Hate
seriously How so are you,Neutral
seriously quite Good morning these days,Neutral
This is a normal message,Neutral
This very is nonsense,Insult
You are extremely in danger,Threat
Stop bothering me,Harassment
frankly Nice to so meet you,Neutral
Stop disturbing me,Harassment
You extremely did fantastic,Love
seriously Stop really this behavior right now,Harassment
honestly extremely I am going to the store to be honest,Neutral
The weather is nice today,Neutral
seriously You so are ridiculous,Insult
Good morning,Neutral
honestly The weather is nice today,Neutral
Stop bothering quite me,Harassment
seriously This is quite a normal message,Neutral
I detest this,Hate
I am coming extremely for you to be honest,Threat
Hi there,Neutral
You are really ridiculous,Insult
Have a good day right now,Neutral
frankly Stop disturbing me,Harassment
seriously The weather is nice today to be honest,Neutral
I strongly extremely dislike you,Hate
What a stupid thing extremely to say right now,Insult
You will suffer for this these days,Threat
Stop this behavior,Harassment
You so are useless,Insult
honestly really You are amazing,Love
This is harassment to be honest,Harassment
Great job right now,Love
You are in quite danger,Threat
Great job right now,Love
honestly I despise you,Hate
frankly This is a warning right now,Threat
Go away,Harassment
I will find you,Threat
I cannot stand so you,Hate
This is harassment,Harassment
I will extremely destroy you,Threat
honestly What a very stupid thing to say these days,Insult
Hi there,Neutral
honestly You should be careful right now,Threat
You will suffer for extremely this,Threat
That was a really dumb idea,Insult
This is a warning,Threat
The weather is nice today to be honest,Neutral
You quite should be careful,Threat
I despise very you to be honest,Hate
Quit spamming me to be honest,Harassment
That was a dumb idea,Insult
honestly You are so pathetic to be honest,Insult
seriously You did fantastic,Love
Hi there,Neutral
honestly so This is a normal message to be honest,Neutral
This is wonderful,Love
This makes me angry,Hate
You are in danger,Threat
frankly I will destroy you,Threat
I will destroy you,Threat
That was very a dumb idea,Insult
honestly very I detest this,Hate
Leave me alone,Harassment
You will regret this,Threat
What a stupid thing extremely to say,Insult
honestly Hi very there,Neutral
frankly I hate really you,Hate
I love this so much,Love
You extremely will regret this,Threat
You so are annoying,Harassment
Good morning,Neutral
honestly very You are in danger,Threat
I am going to extremely the store to be honest,Neutral
frankly You make no sense,Insult
You extremely are useless,Insult
frankly I love you,Love
How are you right now,Neutral
This is wonderful,Love
honestly This is a warning right now,Threat
I loathe extremely your behavior these days,Hate
You are ridiculous,Insult
honestly What a stupid thing to say,Insult
Thank you very much right now,Neutral
frankly I am coming for you,Threat
honestly I cannot stand you right now,Hate
honestly You are amazing,Love
I really strongly dislike you right now,Hate
I am coming for you,Threat
You make no sense,Insult
I will hurt you,Threat
I love this so much,Love
I loathe your behavior,Hate
honestly Quit really spamming me to be honest,Harassment
You make no so sense these days,Insult
Stop quite disturbing me to be honest,Harassment
You are in danger right now,Threat
Stop disturbing very me,Harassment
I will so make you pay,Threat
honestly Why do you keep very messaging me,Harassment
I hate you,Hate
honestly You are in extremely danger,Threat
honestly The weather is nice quite today to be honest,Neutral
I despise you,Hate
You are an idiot right now,Insult
frankly quite You will regret this,Threat
Go away,Harassment
You really are pathetic,Insult
I really hate this,Hate
seriously really I will make you pay right now,Threat
I really hate this right now,Hate
You are stupid,Insult
I will make you pay,Threat
Nice to meet you these days,Neutral
I strongly dislike you,Hate
I quite will destroy you,Threat
You are amazing,Love
seriously I hate you to be honest,Hate
seriously I will make you pay right now,Threat
I quite will hurt you,Threat
Stop bothering me,Harassment
honestly Thank you really very much,Neutral
honestly I will find you to be honest,Threat
You are ridiculous,Insult
Leave me alone,Harassment
This is quite harassment,Harassment
seriously really I despise you,Hate
I hate everything about this these days,Hate
frankly This is nonsense these days,Insult
I really hate this these days,Hate
This really made my day to be honest,Love
I love this so extremely much these days,Love
I will hurt so you these days,Threat
I extremely loathe your behavior,Hate
This is a normal message,Neutral
Nice to meet you right now,Neutral
honestly so Leave me alone,Harassment
Go away to be honest,Harassment
This is a normal message,Neutral
This makes me very angry to be honest,Hate
Stop very this behavior to be honest,Harassment
Hi there to be honest,Neutral
This makes me so angry,Hate
honestly You will regret this,Threat
frankly You should so be careful,Threat
You sound foolish,Insult
honestly You are annoying,Harassment
Do not message me again to be honest,Harassment
Stop disturbing very me right now,Harassment
Stop disturbing me,Harassment
frankly How really are you,Neutral
frankly I quite cannot stand you to be honest,Hate
honestly Have a good day,Neutral
honestly Stop bothering me right now,Harassment
frankly I hate everything really about this,Hate
This is wonderful,Love
Why so do you keep messaging me,Harassment
I love you,Love
seriously You will suffer for this,Threat
Hi there,Neutral
frankly I quite will find you right now,Threat
I really hate this,Hate
I quite detest this right now,Hate
frankly This is wonderful these days,Love
This is very wonderful,Love
I hate everything about this to be honest,Hate
frankly extremely You will regret this,Threat
I am extremely going to the store,Neutral
I extremely am coming for you,Threat
frankly I hate everything so about this,Hate
That was a dumb idea these days,Insult
frankly I so am going to the store,Neutral
You very are awesome these days,Love
Go away,Harassment
frankly I will make you pay right now,Threat
frankly extremely You are annoying right now,Harassment
Stop disturbing me,Harassment
This is really harassment to be honest,Harassment
I really hate this these days,Hate
honestly This made my day right now,Love
This made my day right now,Love
frankly I so will make you pay,Threat
Stop bothering me,Harassment
You very should be careful,Threat
honestly I loathe your behavior,Hate
You are stupid these days,Insult
seriously You are really stupid,Insult
Stop bothering very me,Harassment
honestly Quit spamming me,Harassment
frankly The weather is nice so today,Neutral
honestly This is nonsense right now,Insult
seriously I admire your work,Love
Do not message me again,Harassment
Do not message me again,Harassment
honestly Leave me alone,Harassment
You are in extremely danger,Threat
frankly You will suffer quite for this,Threat
seriously I extremely am going to the store,Neutral
seriously This makes so me angry,Hate
This extremely is harassment,Harassment
Quit spamming me,Harassment
frankly I detest this,Hate
I am really coming for you,Threat
frankly I quite despise you,Hate
This made really my day right now,Love
This is a warning,Threat
seriously I very am going to the store,Neutral
How extremely are you,Neutral
Great job,Love
frankly I admire your work,Love
I really cannot stand you,Hate
honestly really Stop bothering me,Harassment
seriously I am very coming for you,Threat
seriously You should be careful,Threat
frankly I hate you,Hate
You did fantastic,Love
This quite is harassment to be honest,Harassment
This is harassment,Harassment
This is wonderful,Love
I admire your work,Love
honestly I love this so much right now,Love
I really hate so this,Hate
You very are awesome,Love
Thank you very very much these days,Neutral
Stop disturbing me right now,Harassment
You should be careful,Threat
You make very no sense to be honest,Insult
Nice to meet you these days,Neutral
frankly This is a warning these days,Threat
Hello,Neutral
seriously Go away,Harassment
I loathe your behavior,Hate
This is a warning right now,Threat
honestly I loathe your behavior,Hate
You are really pathetic to be honest,Insult
honestly You so are stupid these days,Insult
I love this so much,Love
frankly Why do so you keep messaging me,Harassment
I despise you,Hate
honestly This is a warning right now,Threat
You so should be careful these days,Threat
frankly so This is wonderful,Love
I will find you these days,Threat
honestly extremely I strongly dislike you to be honest,Hate
You extremely are ridiculous,Insult
I appreciate you,Love
seriously I really loathe your behavior,Hate
Hello these days,Neutral
seriously Hello to be honest,Neutral
I hate everything about this,Hate
This fills me with hate to be honest,Hate
This is nonsense right now,Insult
You are very stupid,Insult
Thank you very really much,Neutral
Hello to be honest,Neutral
I really appreciate you,Love
Good morning,Neutral
You quite are useless,Insult
I detest this,Hate
Thank you very much these days,Neutral
This is harassment these days,Harassment
seriously Stop really this behavior these days,Harassment
frankly You are an idiot right now,Insult
honestly You quite are amazing right now,Love
This is nonsense,Insult
Go away to be honest,Harassment
seriously You extremely are awesome,Love
I will hurt very you,Threat
Leave me alone to be honest,Harassment
frankly so You are useless these days,Insult
You sound extremely foolish these days,Insult
seriously This made my day,Love
I will destroy you,Threat
seriously I cannot stand you,Hate
honestly I quite love you,Love
frankly Nice to meet you,Neutral
Leave really me alone,Harassment
seriously That was a dumb idea right now,Insult
honestly You really make no sense,Insult
honestly so Quit spamming me,Harassment
You are awesome to be honest,Love
frankly You are extremely annoying,Harassment
Why do you keep messaging me right now,Harassment
This made my quite day,Love
This fills me with hate,Hate
seriously I extremely loathe your behavior right now,Hate
frankly very You are amazing,Love
This quite is a warning to be honest,Threat
I hate so everything about this right now,Hate
seriously Have a good day,Neutral
Leave me alone right now,Harassment
You extremely are amazing,Love
I really really hate this,Hate
You sound very foolish,Insult
Leave extremely me alone,Harassment
frankly I will destroy you these days,Threat
frankly really Why do you keep messaging me,Harassment
I will extremely destroy you,Threat
You very are an idiot to be honest,Insult
frankly Good morning,Neutral
frankly This so made my day,Love
I detest this to be honest,Hate
seriously I hate quite you right now,Hate
I will make you pay right now,Threat
Do not extremely message me again,Harassment
honestly This is wonderful these days,Love
honestly I despise you,Hate
Hi there right now,Neutral
This fills me with hate these days,Hate
honestly You are ridiculous,Insult
Quit so spamming me,Harassment
frankly Good morning,Neutral
I love you these days,Love
Do not message quite me again,Harassment
honestly This is a normal quite message,Neutral
Hello,Neutral
What extremely a stupid thing to say,Insult
seriously You will suffer really for this,Threat
Stop bothering me,Harassment
seriously I appreciate you right now,Love
seriously This makes really me angry,Hate
I will hurt you,Threat
This makes really me angry,Hate
Hello,Neutral
You are stupid,Insult
honestly This is a warning,Threat
frankly extremely Quit spamming me to be honest,Harassment
frankly Hi there to be honest,Neutral
Thank you very much right now,Neutral
I love this very so much,Love
honestly I very strongly dislike you,Hate
frankly I admire really your work,Love
Leave me alone,Harassment
seriously This is a normal quite message,Neutral
I really really hate this,Hate
honestly very I hate you,Hate
seriously I detest this,Hate
How are extremely you these days,Neutral
honestly You are an idiot to be honest,Insult
I am coming for you,Threat
Great job right now,Love
honestly Have a good day,Neutral
You are so ridiculous,Insult
You are annoying right now,Harassment
You are so awesome,Love
honestly Hello,Neutral
honestly This is a normal message right now,Neutral
How are very you to be honest,Neutral
Good morning right now,Neutral
frankly I really hate this,Hate
You did fantastic,Love
frankly I hate you,Hate
Why do you keep messaging me to be honest,Harassment
honestly You quite are annoying right now,Harassment
You quite are in danger,Threat
You will suffer for this,Threat
You did fantastic,Love
I hate everything very about this,Hate
I appreciate you to be honest,Love
seriously You so make no sense right now,Insult
This very makes me angry these days,Hate
This fills me quite with hate,Hate
seriously Thank you very much right now,Neutral
seriously This is a warning to be honest,Threat
honestly Good morning,Neutral
This made my day,Love
honestly I love this so much to be honest,Love
Thank you very much,Neutral
This fills me with hate to be honest,Hate
How are you right now,Neutral
You will suffer extremely for this right now,Threat
Do not message me again,Harassment
I appreciate you,Love
frankly This fills me with quite hate to be honest,Hate
honestly You are in danger,Threat
You are extremely useless to be honest,Insult
This is a warning,Threat
frankly very This made my day,Love
Why do you keep messaging me right now,Harassment
What a stupid thing to very say,Insult
frankly I will destroy you,Threat
Do quite not message me again right now,Harassment
frankly Quit quite spamming me these days,Harassment
frankly You are amazing right now,Love
I quite cannot stand you,Hate
You so sound foolish these days,Insult
Nice to meet very you,Neutral
This extremely is nonsense,Insult
Quit spamming me,Harassment
Quit spamming me these days,Harassment
seriously very The weather is nice today,Neutral
You make no really sense,Insult
honestly I will make you quite pay,Threat
seriously This made my so day,Love
frankly Do not message me again,Harassment
I despise really you,Hate
I will hurt you,Threat
frankly I will make quite you pay right now,Threat
You did fantastic,Love
honestly very You are amazing,Love
I will destroy you,Threat
How are very you,Neutral
You are an idiot,Insult
honestly This fills me quite with hate,Hate
I despise really you,Hate
You very should be careful these days,Threat
frankly This is a warning,Threat
I appreciate extremely you,Love
I will find you,Threat
Quit spamming me to be honest,Harassment
I hate everything about this,Hate
I admire your work,Love
seriously I admire your work,Love
honestly Stop disturbing me these days,Harassment
You are annoying,Harassment
I will find you,Threat
You should be careful right now,Threat
I am really coming for you to be honest,Threat
honestly quite I will hurt you to be honest,Threat
honestly Hello,Neutral
Leave so me alone to be honest,Harassment
I hate so you,Hate
The weather is quite nice today,Neutral
This makes me angry these days,Hate
frankly You very are pathetic,Insult
frankly You will suffer for this,Threat
Hello,Neutral
Stop this behavior,Harassment
I extremely will find you,Threat
You really sound foolish,Insult
You sound very foolish,Insult
You make no sense,Insult
seriously You so are stupid,Insult
frankly Have a good quite day,Neutral
You are annoying,Harassment
You so make no sense,Insult
I so detest this,Hate
Leave me extremely alone,Harassment
Hello these days,Neutral
Quit spamming quite me these days,Harassment
I extremely love you,Love
You sound foolish,Insult
honestly I will find you right now,Threat
frankly You should be careful to be honest,Threat
I love you,Love
seriously very Good morning these days,Neutral
Have a good day to be honest,Neutral
I detest really this,Hate
You did fantastic,Love
The really weather is nice today,Neutral
seriously You are useless,Insult
This is very a warning right now,Threat
honestly You are amazing,Love
This is so harassment,Harassment
seriously Stop really this behavior,Harassment
I will hurt you,Threat
This is extremely nonsense,Insult
honestly extremely You are awesome,Love
I loathe your behavior,Hate
Why do you keep messaging me,Harassment
I will very destroy you these days,Threat
frankly You are useless to be honest,Insult
I really despise you to be honest,Hate
frankly You very should be careful,Threat
You sound quite foolish these days,Insult
This is harassment,Harassment
I cannot really stand you,Hate
honestly I extremely despise you,Hate
Stop this so behavior these days,Harassment
This fills me with hate to be honest,Hate
seriously You extremely are amazing,Love
I appreciate you,Love
You are pathetic right now,Insult
I very will hurt you,Threat
You are really awesome,Love
seriously I will find you right now,Threat
This is a normal message these days,Neutral
I loathe your behavior,Hate
honestly This is nonsense right now,Insult
You are useless to be honest,Insult
Go away,Harassment
frankly I will destroy so you,Threat
honestly This makes me angry right now,Hate
seriously You quite will suffer for this,Threat
I admire your work to be honest,Love
How are extremely you right now,Neutral
frankly so Do not message me again,Harassment
You will suffer for extremely this right now,Threat
I admire your work these days,Love
seriously I appreciate you,Love
I extremely will destroy you,Threat
frankly This is harassment,Harassment
You quite are pathetic,Insult
frankly You are so stupid,Insult
I admire your work these days,Love
You are so awesome,Love
I love you,Love
You are in danger,Threat
I strongly dislike you to be honest,Hate
frankly quite You sound foolish to be honest,Insult
frankly I love you these days,Love
I admire your quite work right now,Love
Hello,Neutral
I admire your work,Love
The weather is nice today,Neutral
You extremely are useless to be honest,Insult
This made quite my day these days,Love
I really strongly dislike you,Hate
frankly so You are an idiot to be honest,Insult
I love this so so much,Love
frankly You are useless to be honest,Insult
frankly You really make no sense,Insult
Stop bothering me these days,Harassment
This so fills me with hate,Hate
I quite love you to be honest,Love
You should be so careful,Threat
You will suffer for so this,Threat
honestly You are an idiot,Insult
I really am going to the store,Neutral
This very is harassment,Harassment
frankly This is nonsense,Insult
How so are you,Neutral
frankly You are pathetic these days,Insult
seriously extremely I admire your work these days,Love
frankly really That was a dumb idea to be honest,Insult
You are extremely awesome,Love
frankly I love this so much,Love
I admire so your work,Love
That was a dumb idea,Insult
You make no sense,Insult
You are in danger,Threat
You are stupid,Insult
I very really hate this right now,Hate
You are awesome,Love
You sound foolish,Insult
You extremely are awesome these days,Love
You are ridiculous,Insult
I loathe your so behavior right now,Hate
frankly This is harassment right now,Harassment
This is a normal message these days,Neutral
seriously Stop this behavior,Harassment
seriously Hello these days,Neutral
Thank you very much,Neutral
Have really a good day these days,Neutral
The weather is nice today,Neutral
You are useless,Insult
Good morning,Neutral
I hate everything about this to be honest,Hate
seriously You are ridiculous these days,Insult
Good morning,Neutral
Great job,Love
frankly You are annoying,Harassment
honestly You are annoying,Harassment
seriously very This is a normal message these days,Neutral
I extremely detest this to be honest,Hate
seriously I quite strongly dislike you,Hate
Stop bothering so me right now,Harassment
I cannot stand you,Hate
This is a quite warning,Threat
This very made my day,Love
I appreciate really you,Love
Hi there to be honest,Neutral
You extremely are annoying,Harassment
Stop disturbing me to be honest,Harassment
Go away,Harassment
Go away,Harassment
You are an idiot,Insult
This made my day these days,Love
seriously What a stupid quite thing to say,Insult
Go away,Harassment
That was a so dumb idea,Insult
I really strongly dislike you these days,Hate
You did really fantastic,Love
I despise so you,Hate
That quite was a dumb idea,Insult
frankly This makes me angry,Hate
Have a good day,Neutral
You extremely should be careful,Threat
Stop this behavior,Harassment
honestly This really makes me angry to be honest,Hate
This is wonderful,Love
What a stupid thing extremely to say right now,Insult
Hi there,Neutral
I loathe really your behavior,Hate
I really strongly dislike you,Hate
You will quite regret this to be honest,Threat
This is a very warning,Threat
Great job,Love
You quite are awesome these days,Love
Leave me alone these days,Harassment
I hate you,Hate
frankly This is a normal message,Neutral
I extremely really hate this these days,Hate
Hello,Neutral
I very love you to be honest,Love
You really will regret this,Threat
seriously I love this so much,Love
I extremely will make you pay,Threat
You are ridiculous,Insult
Hello,Neutral
I will find really you,Threat
This fills me with hate,Hate
You are ridiculous,Insult
frankly This is harassment,Harassment
Stop disturbing me,Harassment
frankly I will so find you,Threat
frankly That was a dumb very idea right now,Insult
frankly This is nonsense to be honest,Insult
Why do you keep messaging me,Harassment
Great job,Love
I am so coming for you to be honest,Threat
I loathe your behavior right now,Hate
I will find very you right now,Threat
honestly I appreciate so you,Love
You are really awesome,Love
honestly You did fantastic,Love
Great job,Love
This is wonderful,Love
You are an idiot right now,Insult
I will destroy you,Threat
frankly The weather is nice today,Neutral
honestly You extremely will regret this,Threat
This made my day,Love
I cannot stand you,Hate
honestly I love you,Love
honestly You are pathetic right now,Insult
You are useless,Insult
Why do you really keep messaging me to be honest,Harassment
I am coming for you right now,Threat
honestly This fills extremely me with hate,Hate
Why do you keep messaging so me these days,Harassment
Have a good day,Neutral
You are ridiculous to be honest,Insult
frankly Thank you very much,Neutral
I really hate this these days,Hate
This makes me angry,Hate
I am going to the store,Neutral
seriously I will find you,Threat
frankly This is very wonderful,Love
frankly What a stupid thing to say right now,Insult
Stop bothering me to be honest,Harassment
honestly You will suffer for this these days,Threat
seriously Nice to meet extremely you these days,Neutral
You are extremely amazing to be honest,Love
How are you right now,Neutral
You are stupid,Insult
honestly Nice to meet you these days,Neutral
You are an idiot,Insult
Thank you very much,Neutral
seriously Nice to meet you,Neutral
That was a dumb idea,Insult
The weather is nice today to be honest,Neutral
seriously quite I hate everything about this right now,Hate
frankly Do not message me so again,Harassment
Stop this behavior,Harassment
Quit spamming me,Harassment
frankly Great so job right now,Love
Stop disturbing really me,Harassment
frankly I detest this,Hate
seriously You will regret this,Threat
You will regret this,Threat
frankly You are very stupid,Insult
frankly This fills so me with hate to be honest,Hate
You sound foolish,Insult
Have a good day,Neutral
You extremely are in danger,Threat
Go away,Harassment
Nice to extremely meet you,Neutral
You make no sense to be honest,Insult
I love really you right now,Love
frankly You are very ridiculous,Insult
I hate you,Hate
seriously This made my day right now,Love
Hi there,Neutral
frankly so You will regret this to be honest,Threat
You did extremely fantastic right now,Love
You really make no sense these days,Insult
seriously extremely Why do you keep messaging me to be honest,Harassment
You sound foolish right now,Insult
You are quite amazing right now,Love
I will find you,Threat
Stop bothering me,Harassment
I am very going to the store,Neutral
You are an quite idiot these days,Insult
seriously very I loathe your behavior,Hate
I detest this to be honest,Hate
